day,km_ctrl,km_trt
0,1.0,1.0
1,0.9856642773795633,0.959173471088152
2,0.9779963327221204,0.9435094150974838
3,0.9694949158193032,0.9276787202132978
4,0.9636606101016836,0.9155140809865023
5,0.9591598599766628,0.9030161639726713
6,0.9546591098516418,0.8955174137643727
7,0.9498249708284713,0.8881853024495918
8,0.946824470745124,0.8796867188801867
9,0.9431571928654774,0.8740209965005833
10,0.9408234705784295,0.8695217463756042
11,0.9378229704950822,0.8631894684219299
12,0.9351558593098847,0.8590234960839862
13,0.9323220536756123,0.8548575237460425
14,0.9298216369394895,0.8511914680886521
15,0.9279879979996661,0.8485252457923681
16,0.926987831305217,0.8456923846025663
17,0.9254875812635435,0.8433594400933179
18,0.9244874145690943,0.8420263289451759
19,0.9234872478746452,0.8405265789035162
20,0.9224870811801961,0.839360106648892
21,0.9208201366894476,0.839360106648892
22,0.9199866644440734,0.8385269121813033
23,0.9186531088514747,0.83802699550075
24,0.9169861643607262,0.8373604399266791
25,0.916152692115352,0.8366938843526082
26,0.9154859143190526,0.8361939676720549
27,0.914985830971828,0.8358606898850194
28,0.9141523587264537,0.8353607732044661
29,0.9136522753792292,0.834860856523913
30,0.9066511085180857,0.8331944675887354
